H	1.00794
He	4.00260
Li	6.94100
Be	9.01218
B	10.8110
C	12.0107
N	14.0067
O	15.9994
F	18.9984
Ne	20.1797
Na	22.9897
Mg	24.3050
Al	26.9815
Si	28.0855
P	30.9737
S	32.0650
Cl	35.4530
Ar	39.9480
K	39.0983
Ca	40.0780
Sc	44.9559
Ti	47.8670
V	50.9415
Cr	51.9961
Mn	54.9380
Fe	55.8450
Co	58.9332
Ni	58.6934
Cu	63.5460
Zn	65.3800
Ga	69.7230
Ge	72.6400
As	74.9216
Se	78.9600
Br	79.9040
Kr	83.7980
Rb	85.4678
Sr	87.6200
Y	88.9058
Zr	91.2240
Nb	92.9064
Mo	95.9600
Tc	98.0000
Ru	101.0700
Rh	102.9055
Pd	106.4200
Ag	107.8682
Cd	112.4110
In	114.8180
Sn	118.7100
Sb	121.7600
Te	127.6000
In	126.9044
Xe	131.2930
Cs	132.9054
Ba	137.3270
Hf	178.4900
Ta	180.9478
W	183.8400
Re	186.2070
Os	190.2300
Ir	192.2170
Pt	195.0840
Au	196.9665
Hg	200.5900
Tl	204.3833
Pb	207.2000
Bi	208.9804
Po	209.0000
At	210.0000
Rn	222.0000
Fr	223.0000
Ra	226.0000
Rf	267.0000
Db	268.0000
Sg	269.0000
Bh	270.0000
Hs	269.0000
Mt	278.0000
Ds	281.0000
Rg	282.0000
Cn	285.0000
Nh	286.0000
Fl	289.0000
Mc	289.0000
Lv	293.0000
Ts	294.0000
Og	294.0000
La	138.9054
Ce	140.1160
Pr	140.9076
Nd	144.2420
Pm	145.0000
Sm	150.3600
Eu	151.9640
Gd	157.2500
Tb	158.9253
Dy	162.5000
Ho	164.9303
Er	167.2590
Tm	168.9342
Yb	173.0540
Lu	174.9668
Ac	227.0000
Th	232.0380
Pa	231.0358
U	238.0289
Np	237.0000
Pu	244.0000
Am	243.0000
Cm	247.0000
Bk	247.0000
Cf	251.0000
Es	252.0000
Fm	257.0000
Md	258.0000
No	259.0000
Lr	262.0000
zz
